video_id,title,channel_title,category_id,published_at,view_count,like_count,comment_count
GJKsRRX3v1Q,Baahubali - The Eternal War Part 1 Teaser (Hindi) | Prabhas | Ishan Shukla | SS Rajamouli | 2027,Baahubali Movie,1,2025-11-04T14:59:00Z,4416048,169616,6346
24camnz3DqI,Gulli Bulli Khooni Baba Aur Granny Part 13 | GULLI BULLI CARTOON | Horror Stories | MAKE JOKE KAMIL ,Make Joke Kamil,20,2025-11-09T01:30:07Z,264666,3697,161
iU55C5vx7VA,"Fortuner (Official Video) Gulshan Music,Jaat Nia,Ruchika Jangid | New Haryanvi Songs Haryanavi 2025",Sargam Digital ,22,2025-11-08T07:59:53Z,194861,1171,16
L90wPIpDTsY,"Avengers Doomsday Trailer, GTA VI Delayed Again, Spider-Man Noir & Brand New Day | Nerdy News 389",DesiNerd,24,2025-11-09T04:00:30Z,98241,6306,176
gjWpIOHI5zg,Franklin Saving His House From Zombie NPC In Indian Bike Driving 3D,NpsDude,20,2025-11-09T07:18:40Z,251095,952,19
C3S7BdWEEPA,"Solid Body Lofi Song - Slowed + Reverb Sheenam Katlic, Raju Punjabi, Haryanvi Song #lofi #3dsong",Anant Music,10,2025-11-08T05:14:00Z,707884,1867,28
jC6M3-6rhM0,"Kaantha - Official Trailer | Dulquer S, Samuthirakani, Bhagyashri B, Rana D | Selvamani S | Nov 14",Dharma Productions,1,2025-11-07T05:34:08Z,449409,10089,320
q823nSfc7Dw,GRANNY 1 KHELE 🔥 #shortsfeed #shortslive #chainedtogethergame #shorts #live #wormateio,VISHDEE is LIVE,20,2025-11-09T21:52:34Z,450996,7093,0
ClX_TZiBFiU,The Thaandavam Song Promo - Akhanda 2 Thaandavam | NBK | Boyapati Srinu | Thaman S,Aditya Music,10,2025-11-07T14:36:01Z,867089,37084,1072
m43HC9T9YM8,Mastiii 4 - Official Trailer| Riteish Deshmukh | Vivek Oberoi | Aftab Shivdasani | 21st Nov,Zee Studios,1,2025-11-04T06:40:28Z,11266902,166663,32121
Es_qFp_ZGfU,Dirt Lucky Block vs Rainbow Lucky Block in Minecraft..,Karry Kraft,20,2025-11-08T11:42:04Z,601398,6597,269
ojKMer087-Y,"Garmi Movie Song | ओढ़नी के कोर | Aashish Yadav, Srishti Bharti | गर्मी | Romantic Movie Song 2025",Viral Bhojpuri ,10,2025-11-08T07:41:56Z,150242,1720,40
JZzv8JdggSA,VIRUS-ΔX7 | Official Trailer | Hrithik Roshan | Amitabh Bachchan| New Movie Trailer |Trailers 2025,Phantom Pictures™,24,2025-11-08T11:35:42Z,111351,602,31
O5wfNsc1Kpk,NEW UPDATE ME YE KYA AA GAYA ? DESI GAMERS,Desi Gamers,20,2025-11-09T03:12:49Z,335131,22966,2148
fgUMNtCXquM,Mehrama - (Extended) Audio Lyrical | Love Aaj Kal | Kartik | Sara | Pritam | Darshan Raval | Antara,Sony Music India,10,2025-11-07T13:15:12Z,1054802,2891,48
csbXpuIMAJc,The Family Man Season 3 Trailer REVIEW | Deeksha Sharma,Filmi Indian,24,2025-11-07T11:28:35Z,252473,7990,184
