void_id,title,channel_title,category_id,published_at,view_count,like_count,comment_count,category_name,engagement_ratio
6leqOPv3UTM,#Video | शूटर पोसले बानी | #Tuntun Yadav & Goldi Yadav  Shooter Posale Bani  New Bhojpuri Song 2025,SKR Record,22,2025-11-08 13:21:55+00:00,122238,707,20,People & Blogs,0.005947414
K77jUwxrVOo,Parasakthi - Trailer | Sivakarthikeyan | Sudha Kongara | G.V. Prakash | Ravi Mohan | Dawn Pictures,Flix Series,1,2025-11-08 13:37:13+00:00,72879,1221,28,Film & Animation,0.017137996
8dpte6encp0,Giveaway Customs & Rank Push 🔥 Garena Free Fire #freefirelive,Badge 99,20,2025-11-09 15:55:11+00:00,1080887,30882,97,Gaming,0.02866072
uTpQnKqK3Fs,#Video | मटन खाके | #Chandan Chanchal | Matan Khake | Ft. #Soumya Pandey New #Bhojpuri Song 2025,Rup Music,10,2025-11-07 07:17:01+00:00,382231,1905,37,Music,0.005080697
GJKsRRX3v1Q,Baahubali - The Eternal War Part 1 Teaser (Hindi) | Prabhas | Ishan Shukla | SS Rajamouli | 2027,Baahubali Movie,1,2025-11-04 14:59:00+00:00,4416048,169616,6346,Film & Animation,0.039846034
24camnz3DqI,Gulli Bulli Khooni Baba Aur Granny Part 13 | GULLI BULLI CARTOON | Horror Stories | MAKE JOKE KAMIL ,Make Joke Kamil,20,2025-11-09 01:30:07+00:00,264666,3697,161,Gaming,0.014576863
iU55C5vx7VA,"Fortuner (Official Video) Gulshan Music,Jaat Nia,Ruchika Jangid | New Haryanvi Songs Haryanavi 2025",Sargam Digital ,22,2025-11-08 07:59:53+00:00,194861,1171,16,People & Blogs,0.006091522
L90wPIpDTsY,"Avengers Doomsday Trailer, GTA VI Delayed Again, Spider-Man Noir & Brand New Day | Nerdy News 389",DesiNerd,24,2025-11-09 04:00:30+00:00,98241,6306,176,Entertainment,0.065980599
gjWpIOHI5zg,Franklin Saving His House From Zombie NPC In Indian Bike Driving 3D,NpsDude,20,2025-11-09 07:18:40+00:00,251095,952,19,Gaming,0.003867062
C3S7BdWEEPA,"Solid Body Lofi Song - Slowed + Reverb Sheenam Katlic, Raju Punjabi, Haryanvi Song #lofi #3dsong",Anant Music,10,2025-11-08 05:14:00+00:00,707884,1867,28,Music,0.002676992
