void_id,title,channel_title,category_name,published_at,view_count,like_count,comment_count,engagement_ratio
6leqOPv3UTM,#Video | शूटर पोसले बानी | #Tuntun Yadav & Goldi Yadav  Shooter Posale Bani  New Bhojpuri Song 2025,SKR Record,People & Blogs,2025-11-08 18:51:55,122238,707,20,0.00594741
K77jUwxrVOo,Parasakthi - Trailer | Sivakarthikeyan | Sudha Kongara | G.V. Prakash | Ravi Mohan | Dawn Pictures,Flix Series,Film & Animation,2025-11-08 19:07:13,72879,1221,28,0.017138
8dpte6encp0,Giveaway Customs & Rank Push 🔥 Garena Free Fire #freefirelive,Badge 99,Gaming,2025-11-09 21:25:11,1080887,30882,97,0.0286607
uTpQnKqK3Fs,#Video | मटन खाके | #Chandan Chanchal | Matan Khake | Ft. #Soumya Pandey New #Bhojpuri Song 2025,Rup Music,Music,2025-11-07 12:47:01,382231,1905,37,0.0050807
GJKsRRX3v1Q,Baahubali - The Eternal War Part 1 Teaser (Hindi) | Prabhas | Ishan Shukla | SS Rajamouli | 2027,Baahubali Movie,Film & Animation,2025-11-04 20:29:00,4416048,169616,6346,0.039846
24camnz3DqI,Gulli Bulli Khooni Baba Aur Granny Part 13 | GULLI BULLI CARTOON | Horror Stories | MAKE JOKE KAMIL ,Make Joke Kamil,Gaming,2025-11-09 07:00:07,264666,3697,161,0.0145769
iU55C5vx7VA,"Fortuner (Official Video) Gulshan Music,Jaat Nia,Ruchika Jangid | New Haryanvi Songs Haryanavi 2025",Sargam Digital ,People & Blogs,2025-11-08 13:29:53,194861,1171,16,0.00609152
L90wPIpDTsY,"Avengers Doomsday Trailer, GTA VI Delayed Again, Spider-Man Noir & Brand New Day | Nerdy News 389",DesiNerd,Entertainment,2025-11-09 09:30:30,98241,6306,176,0.0659806
gjWpIOHI5zg,Franklin Saving His House From Zombie NPC In Indian Bike Driving 3D,NpsDude,Gaming,2025-11-09 12:48:40,251095,952,19,0.00386706
C3S7BdWEEPA,"Solid Body Lofi Song - Slowed + Reverb Sheenam Katlic, Raju Punjabi, Haryanvi Song #lofi #3dsong",Anant Music,Music,2025-11-08 10:44:00,707884,1867,28,0.00267699
jC6M3-6rhM0,"Kaantha - Official Trailer | Dulquer S, Samuthirakani, Bhagyashri B, Rana D | Selvamani S | Nov 14",Dharma Productions,Film & Animation,2025-11-07 11:04:08,449409,10089,320,0.0231615
q823nSfc7Dw,GRANNY 1 KHELE 🔥 #shortsfeed #shortslive #chainedtogethergame #shorts #live #wormateio,VISHDEE is LIVE,Gaming,2025-11-10 03:22:34,450996,7093,0,0.0157274
ClX_TZiBFiU,The Thaandavam Song Promo - Akhanda 2 Thaandavam | NBK | Boyapati Srinu | Thaman S,Aditya Music,Music,2025-11-07 20:06:01,867089,37084,1072,0.0440047
m43HC9T9YM8,Mastiii 4 - Official Trailer| Riteish Deshmukh | Vivek Oberoi | Aftab Shivdasani | 21st Nov,Zee Studios,Film & Animation,2025-11-04 12:10:28,11266902,166663,32121,0.0176432
Es_qFp_ZGfU,Dirt Lucky Block vs Rainbow Lucky Block in Minecraft..,Karry Kraft,Gaming,2025-11-08 17:12:04,601398,6597,269,0.0114167
ojKMer087-Y,"Garmi Movie Song | ओढ़नी के कोर | Aashish Yadav, Srishti Bharti | गर्मी | Romantic Movie Song 2025",Viral Bhojpuri ,Music,2025-11-08 13:11:56,150242,1720,40,0.0117144
JZzv8JdggSA,VIRUS-ΔX7 | Official Trailer | Hrithik Roshan | Amitabh Bachchan| New Movie Trailer |Trailers 2025,Phantom Pictures™,Entertainment,2025-11-08 17:05:42,111351,602,31,0.00568473
O5wfNsc1Kpk,NEW UPDATE ME YE KYA AA GAYA ? DESI GAMERS,Desi Gamers,Gaming,2025-11-09 08:42:49,335131,22966,2148,0.0749379
fgUMNtCXquM,Mehrama - (Extended) Audio Lyrical | Love Aaj Kal | Kartik | Sara | Pritam | Darshan Raval | Antara,Sony Music India,Music,2025-11-07 18:45:12,1054802,2891,48,0.00278631
csbXpuIMAJc,The Family Man Season 3 Trailer REVIEW | Deeksha Sharma,Filmi Indian,Entertainment,2025-11-07 16:58:35,252473,7990,184,0.0323757
